State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,NDVI,DayInSeason,Yield
Karnataka,BAGALKOT,2002,Kharif     ,Moong(Green Gram),16545,330,1030.52,7.62,-6.69,8.53,233,4.35,130.0157471,0,45.1
Karnataka,BAGALKOT,2002,Kharif     ,Niger seed,122,18,1030.55,7.64,-6.7,8.56,232,4.58,130.0157471,0,45.1
Karnataka,BAGALKOT,2002,Kharif     ,Other Kharif pulses,9360,1646,1030.58,7.69,-6.72,8.58,231,4.82,130.0157471,0,45.1
Karnataka,BAGALKOT,2002,Kharif     ,Rice,112,230,1030.51,7.61,-6.68,8.53,234,4.31,130.0157471,0,45.1
Karnataka,BAGALKOT,2002,Kharif     ,Sesamum,1225,796,1011.75,67.01,21.32,10,329,4.87,148.5816956,0,28.9
Karnataka,BAGALKOT,2002,Kharif     ,Small millets,271,67,1011.79,67,21.39,10,329,4.82,148.5816956,0,28.9
Karnataka,BAGALKOT,2002,Kharif     ,Soyabean,1349,728,1011.61,65.38,21.88,10,337,4.89,148.5305634,0,28.9
Karnataka,BAGALKOT,2002,Kharif     ,Sunflower,22376,11438,1011.79,64.88,21.54,10,344,5.42,148.1173096,0,28.9
Karnataka,BAGALKOT,2002,Rabi       ,Gram,26669,17905,1011.6,67.71,21.46,10,323,4.67,147.9702911,0,28.9
Karnataka,BAGALKOT,2002,Rabi       ,Groundnut,10177,12994,1011.93,65.06,21.38,10,345,5.62,147.783844,0,28.9
Karnataka,BAGALKOT,2002,Rabi       ,Horse-gram,4254,1689,1029.52,6.86,-7.93,9.74,289,14.68,139,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Jowar,157259,98880,1029.51,6.84,-8.01,9.75,289,14.7,136,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Linseed,4997,2207,1030.27,6.99,-6.94,9.58,285,12.62,135,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Maize,9197,31585,1029.23,6.45,-6.57,9.34,290,13.39,132,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Other  Rabi pulses,176,21,1029.39,6.37,-7.3,9.76,289,14.74,132,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Rapeseed &Mustard,80,12,1029.23,6.45,-6.59,9.34,290,13.39,132,0,41.5
Karnataka,BAGALKOT,2002,Rabi       ,Safflower,3916,2703,994.94,0.46,-16.34,9.89,233,4.11,131.7114563,0,52.2
Karnataka,BAGALKOT,2002,Rabi       ,Sunflower,55498,31053,989.11,0.87,-16.29,9.92,231,4.21,131.4605713,0,52.2
Karnataka,BAGALKOT,2002,Rabi       ,Wheat,23327,32386,997.3,0.05,-17.07,9.9,232,4.32,131.4605713,0,52.2
Karnataka,BAGALKOT,2002,Summer     ,Jowar,2,2,994.15,0.67,-17.19,9.86,236,4.22,131.4605713,0,52.2
Karnataka,BAGALKOT,2002,Summer     ,Maize,1233,4217,991.26,1.92,-16.52,9.86,238,3.62,131.4324493,0,52.2
Karnataka,BAGALKOT,2002,Summer     ,Rice,15,16,986.46,1.15,-16.34,9.93,230,4.18,131.2073822,0,52.2
Karnataka,BAGALKOT,2002,Summer     ,Sunflower,3207,2809,1011.19,72.81,27.36,10,267,7.65,146.9562988,0,33.2
Karnataka,BAGALKOT,2002,Whole Year ,Arcanut (Processed),6,8,1012.17,72.83,27.82,10,260,9.44,146.4756317,0,33.2
Karnataka,BAGALKOT,2002,Whole Year ,Atcanut (Raw),6,40,1011.57,73.62,30.1,10,267,8.8,144.1428833,0,33.2
Karnataka,BAGALKOT,2002,Whole Year ,Banana,466,7118,1015.74,53.04,20.57,9.78,6,13.17,145.2557983,0,46
Karnataka,BAGALKOT,2002,Whole Year ,Brinjal,215,1010,1016.29,51.28,20.1,9.67,7,12.6,144.8626556,0,46
Karnataka,BAGALKOT,2002,Whole Year ,Citrus Fruit,350,3155,1016.36,51.3,20.08,9.74,7,12.95,144.8017578,0,46
Karnataka,BAGALKOT,2002,Whole Year ,Coconut ,877,4190,1016.52,51.26,19.79,9.66,6,12.75,144.8017578,0,46
Karnataka,BAGALKOT,2002,Whole Year ,Coriander,30,3,1017.06,49.84,19.7,9.51,8,12.17,144.6976624,0,46
